
Temprature, Altitude, Pressure, Temprature2, RH%, Phai, Theta, Psi, accel_x, accel_y, accel_z, ID, Alt, LONG, Latitude
Temprature, Altitude, Pressure, Temprature2, RH%, Phai, Theta, Psi, accel_x, accel_y, accel_z, ID, Alt, LONG, Latitude
Temprature, Altitude, Pressure, Temprature2, RH%, Phai, Theta, Psi, accel_x, accel_y, accel_z, ID, Alt, LONG, Latitude
Temprature, Altitude, Pressure, Temprature2, RH%, Phai, Theta, Psi, accel_x, accel_y, accel_z, ID, Alt, LONG, Latitude
Temprature, Altitude, Pressure, Temprature2, RH%, Phai, Theta, Psi, accel_x, accel_y, accel_z, ID, Alt, LONG, Latitude
Temprature, Altitude, Pressure, Temprature2, RH%, Phai, Theta, Psi, accel_x, accel_y, accel_z, ID, Alt, LONG, Latitude
Temprature, Altitude, Pressure, Temprature2, RH%, Phai, Theta, Psi, accel_x, accel_y, accel_z, ID, Alt, LONG, Latitude
Temprature, Altitude, Pressure, Temprature2, RH%, Phai, Theta, Psi, accel_x, accel_y, accel_z, ID, Alt, LONG, Latitude
Temprature, Altitude, Pressure, Temprature2, RH%, Phai, Theta, Psi, accel_x, accel_y, accel_z, ID, Alt, LONG, Latitude
Temprature, Altitude, Pressure, Temprature2, RH%, Phai, Theta, Psi, accel_x, accel_y, accel_z, ID, Alt, LONG, Latitude
Temprature, Altitude, Pressure, Temprature2, RH%, Phai, Theta, Psi, accel_x, accel_y, accel_z, ID, Alt, LONG, Latitude
Temprature, Altitude, Pressure, Temprature2, RH%, Phai, Theta, Psi, accel_x, accel_y, accel_z, ID, Alt, LONG, Latitude
Temprature, Altitude, Pressure, Temprature2, RH%, Phai, Theta, Psi, accel_x, accel_y, accel_z, ID, Alt, LONG, Latitude
Temprature, Altitude, Pressure, Temprature2, RH%, Phai, Theta, Psi, accel_x, accel_y, accel_z, ID, Alt, LONG, Latitude
Temprature, Altitude, Pressure, Temprature2, RH%, Phai, Theta, Psi, accel_x, accel_y, accel_z, ID, Alt, LONG, Latitude
0, 0, 10000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Temprature, Altitude, Pressure, Temprature2, RH%, Phai, Theta, Psi, accel_x, accel_y, accel_z, ID, Alt, LONG, Latitude
Temprature, Altitude, Pressure, Temprature2, RH%, Phai, Theta, Psi, accel_x, accel_y, accel_z, ID, Alt, LONG, Latitude
Temprature, Altitude, Pressure, Temprature2, RH%, Phai, Theta, Psi, accel_x, accel_y, accel_z, ID, Alt, LONG, Latitude
Temprature, Altitude, Pressure, Temprature2, RH%, Phai, Theta, Psi, accel_x, accel_y, accel_z, ID, Alt, LONG, Latitude
0, 0, 10000, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, 0
Temprature, Altitude, Pressure, Temprature2, RH%, Phai, Theta, Psi, accel_x, accel_y, accel_z, ID, Alt, LONG, Latitude
0, 0, 10000, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, 0
0, 0, 10000, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, 0
Temprature, Altitude, Pressure, Temprature2, RH%, Phai, Theta, Psi, accel_x, accel_y, accel_z, ID, Alt, LONG, Latitude
0, 0, 10000, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, 0
0, 0, 10000, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, 0
0, 0, 10000, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, 0
